NDET :
    41
DETECTOR      SPECTRUM
	11		1
	21		2
	22		3
	23		4
	24		5
	31		6
	32		7
	33		8
	34		9
   7180464           10
   7180465           10
   7180466           10
   7180467           10 
   7180468           10
   7180469           10
   7180470           10
   7180471           10
   7180472           10
   7180473           10
   7180474           10
   7180475           10
   7180476           10
   7180477           10 
   7180478           10
   7180479           10
   7180480           10
   7180481           10
   7180482           10
   7180483           10
   7180484           10
   7180485           10
   7180486           10
   7180487           10
   7180488           10
   7180489           10
   7180490           10
   7180491           10
   7180492           10
   7180493           10
   7180494           10
   7180495           10
   7180496           10
   7180497           10
   7180498           10
   7180499           10
   7180500           10
   7180501           10
   7180502           10
   7180503           10
   7180504           10
   7180505           10
   7180506           10
   7180507           10
   7180508           10
   7180509           10
   7180510           10
   7180511           10
   7180512           10
   7180513           10
   7180514           10
   7180515           10
   7180516           10
   7180517           10
   7180518           10
   7180519           10
   7180520           10
   7180521           10
   7180522           10
   7180523           10
   7180524           10
   7180525           10
   7180526           10
   7180528           10
   7180529           10
   7180530           10
   7180531           10
   7180532           10
   7180533           10
   7180534           10
   7180535           10
   7180536           10
   7180537           10
   7180538           10
   7180539           10
   7180540           10
   7180541           10
   7180542           10
   7180543           10
   7180544           10
   7180545           10
   7180546           10
   7180547           10
   7180548           10
   7180549           10
   7180550           10
   7180551           10
   7180552           10
   7180553           10
   7180554           10
   7180555           10
   7180556           10
   7180557           10
   7180558           10
   7180559           10
   7180560           10
