90			
DETECTOR      SPECTRUM			
11			1
21			2
31			3
41			4
51			5
61			6
71			7
81			8
	3110470           9
     3110471           9
     3110472           9
     3110473           9
     3110474           9
     3110475           9
     3110476           9
     3110477           9
     3110478           9
     3110479           9
     3110480           9
     3110481           9
     3110482           9
     3110483           9
     3110484           9
     3110485           9
     3110486           9
     3110487           9
     3110488           9
     3110489           9
     3110490           9
     3110491           9
     3110492           9
     3110493           9
     3110494           9
     3110495           9
     3110496           9
     3110497           9
     3110498           9
     3110499           9
     3110500           9
     3110501           9
     3110502           9
     3110503           9
     3110504           9
     3110505           9
     3110506           9
     3110507           9
     3110508           9
     3110509           9
     3110510           9
     3110511           9
     3110512           9
     3110513           9
     3110514           9
     3110515           9
     3110516           9
     3110517           9
     3110518           9
     3110519           9
     3110520           9
     3110521           9
     3110522           9
     3110523           9
     3110524           9
     3110525           9
     3110526           9
     3110527           9
     3110528           9
     3110529           9
     3110530           9
     3110531           9
     3110532           9
     3110533           9
     3110534           9
     3110535           9
     3110536           9
     3110537           9
     3110538           9
     3110539           9
     3110540           9
     3110541           9
     3110542           9
     3110543           9
     3110544           9
     3110545           9
     3110546           9
     3110547           9
     3110548           9
     3110549           9
     3110550           9
